br.com.MDSGPP.ChamadaParlamentar.control,,,,
EstatisticaPartidoControl.java,,,,
Método,Variável,Tipo,Funcionalidade,Sugestão de nome
gerarEstatisticaPartido,nome,String,Variável que recebe o nome do partido.,name
gerarEstatisticaPartido,estatistica,EstatisticaPartido,Recebe a estatística do partido.,estatistica
gerarEstatisticaPartido,partido,Partidos,Recebe todas as características do partido.,politicalParty
gerarEstatisticaPartido,totalDeSessoes,Int,Recebe o total de sessoes realizadas.,allSessions
gerarEstatisticaPartido,totalDeSessoesAssistidas,int,Recebe o total de sessoes assistidas pelo partido,allPresentSessions
gerarEstatisticaPartido,i,int,Variável usada para contar os loops do for.,i
gerarEstatisticaPartido,porcentagem,double,Variável que irá receber a porcentagem de presença do partido.,percent
gerarEstatisticaPartido,porcentagemPassar,String,Variável que recebe a porcentagem de presença em forma de String.,passPercent
formatarNumeroDouble,numero,Double,Variável que recebe o número a ser formatado.,number
formatarNumeroDouble,formatarDouble,String,Variável que recebe o número já formatado. ,formatDouble
