br.com.MDSGPP.ChamadaParlamentar.model,,,,
Estatística,,,,
Método,Variável,Tipo,Funcionalidade,Sugestão de nome
Deputados,idDoParlamentar,int,Variável que recebe a identidade do parlamentar,idOfParliamentary
Deputados,matricula,int,Variável que recebe a matrícula do parlamentar.,enrollment
Deputados,ideCadastro,int,Variável que recebe a identidade de cadastro do parlamentar.,idRegister
Deputados,nomeCivilDoParlamentar,String,Variável que recebe o nome civil do parlamentar.,legalNameOfParliamentary
Deputados,nomeDeTratamentoDoParlamentar,String,Variável que recebe o nome de tratamento do parlamentar.,nameOfTreatmentParliamentary
Deputados,sexo,String,Variável que recebe o sexo do parlamentar.,sex
Deputados,uf,String,Variável que recebe a UF do parlamentar.,UF
Deputados,partido,String,Variável que recebe o partido do parlamentar.,politicalParty
Deputados,numeroDoGabinete,String,Variável que recebe o número do gabinete do parlamentar. ,numberOfCabinet
Deputados,anexo,String,Variável que recebe o anexo do parlamentar.,annex
Deputados,telefone,String,Variável que recebe o telefone do parlamentar.,phone
Deputados,email,String,Variável que recebe o e-mail do parlamentar.,email
