br.com.MDSGPP.ChamadaParlamentar.model,,,,,
,Estatistica,,,,
,Mﾂtodo,Variﾠvel,Tipo,funcionalidade,Nome Sugerido
,getNumeroSessao,numeroSessao,String,Pega o numero da sessao.,numberOfSession
,setNumeroSessao,numeroSessao,String,Altera o conteﾣdo da variﾠvel numeroSessao,numberOfSession
,getTotalSessao,totalSessao,String,Pega o numero total de sessoes.,numberOfAllSessions
,setTotalSessao,totalSessao,String,Altera o conteﾣdo da variﾠvel totalSessao,numberOfAllSessions
,getNome,nome,String,Pega o nome da sessao.,name
,setNome,nome,String,Altera o nome da sessao.,name
,getPorcentagem,porcentagem,String,Pega a porcentagem do deputado.,percentage
,setPorcentagem,porcentagem,String,Altera o conteﾣdo da variﾠvel porcentagem.,percentage
,getLista,lista,ArrayList<String>,Pega todas as sessoes.,list
,setLista,lista,ArrayList<String>,Altera o conteﾣdo da variﾠvel lista.,list
