br.com.MDSGPP.ChamadaParlamentar.servlets,,,
SegundoParlamentarServlet,,,
Funçao,Tipo,Variável,Comentarios
"service (HttpServletRequest request, HttpServletResponse response)",String,nomePrimeiroParlamentar,
"service (HttpServletRequest request, HttpServletResponse response)",String,nomeSegundoParlamentar,
"service (HttpServletRequest request, HttpServletResponse response)",Deputados,primeiroDeputado,
"service (HttpServletRequest request, HttpServletResponse response)",Deputados,segundoDeputado,
"service (HttpServletRequest request, HttpServletResponse response)",RequestDispatcher,rd,
"service (HttpServletRequest request, HttpServletResponse response)",Esatistica,estatisticaPrimeiro,
"service (HttpServletRequest request, HttpServletResponse response)",Esatistica,estatisticaSegundo,
"service (HttpServletRequest request, HttpServletResponse response)",ArrayList<Estatistica>,lista,
"service (HttpServletRequest request, HttpServletResponse response)",double,presencaPrimeiro,
"service (HttpServletRequest request, HttpServletResponse response)",String,presença1,
"service (HttpServletRequest request, HttpServletResponse response)",double,presençaSegundo,
"service (HttpServletRequest request, HttpServletResponse response)",String ,presencaPassar2,
